faceoff_ID,video,start_frame,end_frame,type
72,video_FACEOFF_000203.mp4,0,155,far
74,video_FACEOFF_000213.mp4,0,120,far
75,video_FACEOFF_000217.mp4,0,100,close
80,video_FACEOFF_000225.mp4,75,195,close
83,video_FACEOFF_000238.mp4,40,45,mid
84,video_FACEOFF_000241.mp4,0,130,mid
85,video_FACEOFF_000245.mp4,105,170,close
86,video_FACEOFF_000246.mp4,175,250,close
87,video_FACEOFF_000251.mp4,0,85,close
88,video_FACEOFF_000252.mp4,210,270,close
90,video_FACEOFF_000261.mp4,0,235,close
91,video_FACEOFF_000262.mp4,420,440,far
92,video_FACEOFF_000263.mp4,555,620,far
93,video_FACEOFF_000266.mp4,0,35,far
96,video_FACEOFF_000275.mp4,985,1070,far
97,video_FACEOFF_000127.mp4,0,105,mid
98,video_FACEOFF_000128.mp4,405,450,mid
99,video_FACEOFF_000129.mp4,280,410,far
101,video_FACEOFF_000132.mp4,140,170,close
102,video_FACEOFF_000132.mp4,175,185,far
104,video_FACEOFF_000133.mp4,235,255,far
108,video_FACEOFF_000139.mp4,155,175,mid
109,video_FACEOFF_000140.mp4,185,215,far
110,video_FACEOFF_000141.mp4,185,260,mid
111,video_FACEOFF_000144.mp4,185,320,far
112,video_FACEOFF_000146.mp4,35,205,mid
115,video_FACEOFF_000152.mp4,215,260,far
116,video_FACEOFF_000153.mp4,0,100,far
117,video_FACEOFF_000155.mp4,20,95,far
118,video_FACEOFF_000156.mp4,3265,3305,far
119,video_FACEOFF_000163.mp4,0,120,far
121,video_FACEOFF_000164.mp4,150,190,far
122,video_FACEOFF_000165.mp4,220,290,far
123,video_FACEOFF_000166.mp4,0,20,far
126,video_FACEOFF_000168.mp4,220,395,far
127,video_FACEOFF_000170.mp4,85,125,far
128,video_FACEOFF_000172.mp4,260,290,far
129,video_FACEOFF_000174.mp4,0,65,close
131,video_FACEOFF_000177.mp4,600,635,far
132,video_FACEOFF_000178.mp4,50,80,far
133,video_FACEOFF_000179.mp4,320,415,close
134,video_FACEOFF_000180.mp4,15,75,far
135,video_FACEOFF_000182.mp4,175,330,close
136,video_FACEOFF_000183.mp4,245,350,far
139,video_FACEOFF_000186.mp4,340,440,close
140,video_FACEOFF_000187.mp4,0,120,close
141,video_FACEOFF_000190.mp4,390,515,mid
143,video_FACEOFF_000194.mp4,420,445,mid
148,video_FACEOFF_000361.mp4,280,295,far
149,video_FACEOFF_000368.mp4,125,215,mid
150,video_FACEOFF_000369.mp4,150,180,mid
151,video_FACEOFF_000370.mp4,75,105,mid
152,video_FACEOFF_000378.mp4,60,180,far
153,video_FACEOFF_000380.mp4,220,280,far
154,video_FACEOFF_000381.mp4,165,250,far
155,video_FACEOFF_000382.mp4,255,295,mid
156,video_FACEOFF_000384.mp4,620,715,far
160,video_FACEOFF_000388.mp4,105,140,far
162,video_FACEOFF_000395.mp4,320,325,mid
163,video_FACEOFF_000396.mp4,250,305,mid
164,video_FACEOFF_000397.mp4,0,150,far
165,video_FACEOFF_000398.mp4,55,120,mid
166,video_FACEOFF_000400.mp4,325,330,mid
168,video_FACEOFF_000405.mp4,255,380,far
169,video_FACEOFF_000407.mp4,40,220,far
170,video_FACEOFF_000409.mp4,0,10,far
171,video_FACEOFF_000410.mp4,55,85,far
172,video_FACEOFF_000411.mp4,400,455,far
173,video_FACEOFF_000413.mp4,75,280,far
175,video_FACEOFF_000415.mp4,70,140,mid
176,video_FACEOFF_000417.mp4,205,225,far
177,video_FACEOFF_000420.mp4,250,290,far
178,video_FACEOFF_000422.mp4,105,165,far
179,video_FACEOFF_000423.mp4,300,320,mid
180,video_FACEOFF_000424.mp4,220,380,far
181,video_FACEOFF_000669.mp4,0,120,mid
182,video_FACEOFF_000669.mp4,340,640,close
183,video_FACEOFF_000670.mp4,335,415,close
184,video_FACEOFF_000671.mp4,220,340,close
186,video_FACEOFF_000677.mp4,0,45,close
187,video_FACEOFF_000679.mp4,240,270,close
189,video_FACEOFF_000681.mp4,40,125,mid
190,video_FACEOFF_000683.mp4,420,440,far
191,video_FACEOFF_000686.mp4,135,180,far
193,video_FACEOFF_000689.mp4,25,45,mid
194,video_FACEOFF_000690.mp4,210,405,close
195,video_FACEOFF_000691.mp4,0,90,far
197,video_FACEOFF_000693.mp4,0,50,close
198,video_FACEOFF_000694.mp4,380,420,far
199,video_FACEOFF_000694.mp4,545,565,close
201,video_FACEOFF_000695.mp4,315,350,close
202,video_FACEOFF_000703.mp4,135,235,close
203,video_FACEOFF_000703.mp4,135,235,close
205,video_FACEOFF_000711.mp4,75,210,far
206,video_FACEOFF_000716.mp4,0,30,mid
209,video_FACEOFF_000722.mp4,160,210,mid
211,video_FACEOFF_000726.mp4,420,505,mid
212,video_FACEOFF_000727.mp4,55,135,mid
213,video_FACEOFF_000729.mp4,240,345,close
216,video_FACEOFF_000735.mp4,0,70,close
218,video_FACEOFF_000743.mp4,0,260,close
220,video_FACEOFF_000746.mp4,445,485,close
222,video_FACEOFF_000504.mp4,40,50,far
223,video_FACEOFF_000506.mp4,280,355,close
224,video_FACEOFF_000509.mp4,300,425,close
226,video_FACEOFF_000511.mp4,80,180,far
227,video_FACEOFF_000512.mp4,0,40,far
228,video_FACEOFF_000516.mp4,270,360,far
230,video_FACEOFF_000520.mp4,55,120,far
231,video_FACEOFF_000522.mp4,180,200,far
232,video_FACEOFF_000523.mp4,270,660,close
233,video_FACEOFF_000524.mp4,110,140,close
234,video_FACEOFF_000532.mp4,0,240,far
237,video_FACEOFF_000541.mp4,570,645,close
238,video_FACEOFF_000546.mp4,360,390,close
239,video_FACEOFF_000546.mp4,415,475,far
240,video_FACEOFF_000547.mp4,60,275,far
241,video_FACEOFF_000549.mp4,135,180,mid
242,video_FACEOFF_000550.mp4,160,180,mid
244,video_FACEOFF_000552.mp4,240,290,close
245,video_FACEOFF_000553.mp4,120,160,close
247,video_FACEOFF_000556.mp4,250,280,far
249,video_FACEOFF_000560.mp4,0,100,far
250,video_FACEOFF_000561.mp4,235,305,close
251,video_FACEOFF_000565.mp4,295,350,far
253,video_FACEOFF_000568.mp4,450,545,close
254,video_FACEOFF_000569.mp4,820,855,mid
256,video_FACEOFF_000575.mp4,335,435,close
257,video_FACEOFF_000576.mp4,320,375,mid
258,video_FACEOFF_000577.mp4,420,500,close
259,video_FACEOFF_000580.mp4,660,760,close
262,video_FACEOFF_000669.mp4,340,640,close
263,video_FACEOFF_000670.mp4,335,415,close
264,video_FACEOFF_000671.mp4,220,340,close
265,video_FACEOFF_000673.mp4,340,365,close
266,video_FACEOFF_000677.mp4,0,45,close
267,video_FACEOFF_000679.mp4,240,270,close
268,video_FACEOFF_000680.mp4,120,175,mid
269,video_FACEOFF_000681.mp4,40,125,mid
270,video_FACEOFF_000683.mp4,420,440,far
271,video_FACEOFF_000686.mp4,135,180,far
272,video_FACEOFF_000687.mp4,0,110,mid
273,video_FACEOFF_000689.mp4,25,45,mid
274,video_FACEOFF_000690.mp4,210,405,close
275,video_FACEOFF_000691.mp4,0,90,far
278,video_FACEOFF_000694.mp4,380,420,far
279,video_FACEOFF_000694.mp4,545,565,close
280,video_FACEOFF_000695.mp4,155,195,mid
281,video_FACEOFF_000695.mp4,315,350,close
282,video_FACEOFF_000703.mp4,135,235,close
283,video_FACEOFF_000703.mp4,135,235,close
285,video_FACEOFF_000711.mp4,75,210,far
286,video_FACEOFF_000716.mp4,0,30,mid
288,video_FACEOFF_000720.mp4,0,120,far
290,video_FACEOFF_000724.mp4,0,90,close
291,video_FACEOFF_000726.mp4,420,505,mid
292,video_FACEOFF_000727.mp4,55,135,mid
293,video_FACEOFF_000729.mp4,240,345,close
294,video_FACEOFF_000733.mp4,275,350,close
297,video_FACEOFF_000740.mp4,0,65,close
298,video_FACEOFF_000743.mp4,0,260,close
300,video_FACEOFF_000746.mp4,445,485,close
301,video_FACEOFF_000584.mp4,0,95,far
303,video_FACEOFF_000587.mp4,40,410,mid
304,video_FACEOFF_000588.mp4,0,320,mid
307,video_FACEOFF_000599.mp4,240,285,close
308,video_FACEOFF_000607.mp4,380,515,mid
310,video_FACEOFF_000610.mp4,40,275,far
311,video_FACEOFF_000615.mp4,220,415,far
312,video_FACEOFF_000617.mp4,0,115,far
313,video_FACEOFF_000619.mp4,0,120,mid
314,video_FACEOFF_000620.mp4,5,75,far
317,video_FACEOFF_000624.mp4,60,155,far
318,video_FACEOFF_000625.mp4,275,425,far
319,video_FACEOFF_000628.mp4,0,80,far
322,video_FACEOFF_000632.mp4,0,415,far
323,video_FACEOFF_000635.mp4,0,80,far
324,video_FACEOFF_000638.mp4,325,405,far
325,video_FACEOFF_000643.mp4,40,155,far
326,video_FACEOFF_000648.mp4,0,30,close
327,video_FACEOFF_000649.mp4,0,95,mid
328,video_FACEOFF_000650.mp4,60,105,mid
330,video_FACEOFF_000661.mp4,20,120,close
331,video_FACEOFF_000663.mp4,140,295,close
332,video_FACEOFF_000666.mp4,165,370,close
333,video_FACEOFF_000835.mp4,235,280,close
334,video_FACEOFF_000836.mp4,0,55,far
335,video_FACEOFF_000837.mp4,400,430,far
337,video_FACEOFF_000850.mp4,140,180,close
338,video_FACEOFF_000851.mp4,35,240,far
339,video_FACEOFF_000853.mp4,0,15,far
340,video_FACEOFF_000854.mp4,0,20,far
341,video_FACEOFF_000856.mp4,255,290,far
342,video_FACEOFF_000858.mp4,0,20,mid
343,video_FACEOFF_000861.mp4,0,55,far
344,video_FACEOFF_000862.mp4,435,485,far
347,video_FACEOFF_000865.mp4,50,335,far
350,video_FACEOFF_000867.mp4,380,500,mid
351,video_FACEOFF_000868.mp4,80,195,far
352,video_FACEOFF_000869.mp4,885,890,far
354,video_FACEOFF_000875.mp4,0,135,far
355,video_FACEOFF_000876.mp4,0,75,close
356,video_FACEOFF_000880.mp4,0,20,far
358,video_FACEOFF_000882.mp4,35,185,far
359,video_FACEOFF_000883.mp4,0,175,far
364,video_FACEOFF_000890.mp4,0,110,far
365,video_FACEOFF_000892.mp4,285,340,far
367,video_FACEOFF_000896.mp4,45,245,far
368,video_FACEOFF_000896.mp4,360,420,far
369,video_FACEOFF_000902.mp4,420,530,mid
370,video_FACEOFF_000906.mp4,280,415,far
371,video_FACEOFF_000908.mp4,0,170,mid
372,video_FACEOFF_000915.mp4,35,45,far
373,video_FACEOFF_000916.mp4,0,115,mid
374,video_FACEOFF_000427.mp4,20,85,far
375,video_FACEOFF_000429.mp4,80,115,mid
376,video_FACEOFF_000430.mp4,165,455,mid
377,video_FACEOFF_000432.mp4,430,555,mid
379,video_FACEOFF_000436.mp4,65,130,mid
380,video_FACEOFF_000437.mp4,0,140,far
381,video_FACEOFF_000438.mp4,235,270,mid
384,video_FACEOFF_000441.mp4,135,270,mid
386,video_FACEOFF_000444.mp4,105,400,mid
387,video_FACEOFF_000445.mp4,170,395,mid
388,video_FACEOFF_000447.mp4,240,395,mid
389,video_FACEOFF_000450.mp4,595,620,mid
392,video_FACEOFF_000454.mp4,0,115,mid
393,video_FACEOFF_000460.mp4,0,5,close
394,video_FACEOFF_000467.mp4,0,70,mid
395,video_FACEOFF_000472.mp4,560,625,close
396,video_FACEOFF_000474.mp4,340,475,mid
397,video_FACEOFF_000476.mp4,0,40,close
398,video_FACEOFF_000477.mp4,0,40,close
399,video_FACEOFF_000478.mp4,175,265,far
400,video_FACEOFF_000479.mp4,220,300,far
401,video_FACEOFF_000481.mp4,410,480,far
402,video_FACEOFF_000485.mp4,45,390,mid
405,video_FACEOFF_000491.mp4,0,25,far
406,video_FACEOFF_000492.mp4,715,845,close
407,video_FACEOFF_000493.mp4,70,370,mid
409,video_FACEOFF_000495.mp4,435,795,close
410,video_FACEOFF_000496.mp4,40,420,far
412,video_FACEOFF_000500.mp4,0,60,far
413,video_FACEOFF_000920.mp4,435,585,close
414,video_FACEOFF_000921.mp4,0,90,close
415,video_FACEOFF_000922.mp4,0,55,close
417,video_FACEOFF_000925.mp4,215,330,far
420,video_FACEOFF_000928.mp4,0,230,close
421,video_FACEOFF_000932.mp4,0,40,mid
422,video_FACEOFF_000934.mp4,0,45,close
424,video_FACEOFF_000938.mp4,0,55,mid
425,video_FACEOFF_000940.mp4,240,385,far
426,video_FACEOFF_000941.mp4,0,335,far
427,video_FACEOFF_000943.mp4,0,45,far
428,video_FACEOFF_000944.mp4,0,110,mid
431,video_FACEOFF_000948.mp4,0,120,mid
435,video_FACEOFF_000958.mp4,120,180,close
436,video_FACEOFF_000959.mp4,80,260,close
437,video_FACEOFF_000960.mp4,0,90,close
439,video_FACEOFF_000962.mp4,0,70,close
441,video_FACEOFF_000965.mp4,145,170,close
442,video_FACEOFF_000966.mp4,340,545,mid
444,video_FACEOFF_000969.mp4,0,185,far
445,video_FACEOFF_000970.mp4,0,110,far
446,video_FACEOFF_000971.mp4,320,445,mid
447,video_FACEOFF_000972.mp4,0,75,mid
449,video_FACEOFF_000975.mp4,305,335,far
451,video_FACEOFF_000986.mp4,200,425,mid
452,video_FACEOFF_000988.mp4,25,75,mid
453,video_FACEOFF_000992.mp4,480,610,mid
454,video_FACEOFF_000997.mp4,315,350,mid
455,video_FACEOFF_000999.mp4,165,310,mid
